144	tissue-paper	6.368313, -4.952378, -0.621759
145	plant-stand	5.137331, 1.790092, -1.056335
146	utensil-holder	1.578991, -0.764754, -0.388870
147	shoe	-0.780042, 1.375329, -1.285977
148	wall	-1.667833, 0.932704, 1.146258
149	bottle	1.776659, -0.795976, -0.482612
150	bottle	1.853617, -0.868290, -0.403039
151	bottle	-0.680734, -1.986811, -0.435621
152	plant-stand	1.762118, 5.721513, -1.063834
153	bottle	1.997716, -1.070763, -0.405032
154	table	2.528086, -6.285052, -1.253145
155	rack	-0.592080, -2.040793, -0.509896
156	plate	-0.158236, -3.865436, -0.531498
157	box	5.997488, -5.445290, -0.918048
158	book	7.058505, -4.483866, -0.962532
159	small-appliance	1.256198, -1.987264, -0.384377
160	chair	7.228644, 3.336992, -1.026468
161	book	8.039160, -2.352170, -0.927141
162	indoor-plant	5.820352, -1.075211, -0.071722
163	lamp	8.723185, -3.098842, -0.486694
164	sink	2.755237, -0.696886, -0.597220
165	bowl	3.055224, -0.990941, -0.516554
166	book	6.119154, -5.558772, 0.221983
167	undefined	2.782782, -1.526687, -0.513234
168	wall	2.727784, 2.086100, 0.062967
169	bottle	2.631975, -1.841220, -0.467683
170	door	1.104103, 2.596381, -0.397860
171	book	6.037696, -5.352308, 0.217807
172	wall	5.298320, 0.414904, 0.063016
173	plate	2.884094, -2.026644, -0.520610
174	bowl	3.588725, -1.544675, -0.501206
175	scarf	-1.326439, -0.545797, -0.219667
176	undefined	-0.778279, -3.901628, -0.516137
177	lamp	0.703225, -3.659587, -0.369395
178	book	6.022302, -5.693359, -0.617579
179	cup	1.168226, -1.012177, 0.133966
180	vase	2.809184, -2.068887, 0.833699
181	book	6.052689, -5.360622, 0.265155
182	vase	3.166836, -0.787637, 0.521094
183	chair	6.019781, 3.726682, -1.033100
184	bowl	2.776118, -2.075914, 0.476160
185	bowl	2.351489, -2.815855, 0.479472
186	bottle	1.996937, -0.831977, -0.398163
187	clothing	-0.917128, 0.870558, -0.307945
188	plate	2.721642, -2.249460, 0.143763
189	clothing	-0.925427, 1.025338, -0.315281
190	bowl	3.125901, -1.108550, 0.167348
191	book	6.051065, -5.882371, -0.645378
192	shoe	-0.807014, 0.639560, -1.180216
193	undefined	-0.721748, 0.787590, -0.935501
194	book	6.811181, 5.201002, -0.589999
195	bottle	2.052228, -0.833795, -0.401477
196	undefined	-0.840548, 1.259933, -0.939824
197	scarf	-0.784961, 1.096418, -0.841251
198	clothing	-0.748409, 1.006809, -0.985728
199	bowl	2.584531, -2.170516, -0.513119
200	undefined	-0.578231, -0.624477, -1.163473
201	book	6.113078, -5.657411, -0.068786
202	anonymize_picture	6.219226, -5.483601, -0.306348
203	handbag	-0.853075, 0.774686, 0.309177
204	book	6.312475, -5.077872, -0.376236
205	book	6.106826, -5.958890, -0.366291
206	bin	1.089708, -0.221538, -1.152071
207	undefined	3.267083, -1.469795, -0.903555
208	book	6.615724, -5.332307, -0.235457
209	book	6.133366, -5.917080, -0.277581
210	switch	1.135526, 3.381916, 0.620864
211	book	6.532999, -5.182498, -0.640016
212	box	6.422039, -4.913646, -0.854967
213	book	6.106365, -5.327736, -0.954642
214	book	7.808714, -2.370325, -1.278089
215	book	6.136446, -5.240718, -1.277483
216	book	7.637348, -3.600124, -1.274607
217	book	8.031124, -2.272483, -1.280398
218	undefined	5.015113, -0.530273, -0.994597
219	undefined	4.892676, -0.989842, -1.313239
220	rug	4.857146, -2.766090, -1.441807
